file,source_dir,workload,run,qd_from_filename,direct_from_filename,job_name,rw,active_direction,bs,iodepth,numjobs,size,direct,runtime_sec,bandwidth_mib_s,iops,clat_mean_us,clat_p95_us,clat_p99_us,clat_p999_us,fio_version,timestamp,timestamp_ms
prefill.json,D:\ssd_lab\results\direct_buffered,prefill,,,,prefill,write,write,1M,1,1,2G,1,5.066,404.2637186050415,404.263719,72.40573535200001,102.912,119.296,146.432,fio-3.42,1779799679,1779799679486
rand_read_direct0_run1.json,D:\ssd_lab\results\direct_buffered,rand_read,1,,0,rand_read,randread,read,4k,16,1,2G,0,30.001,283.22063732147217,72504.483184,147.89578817700001,440.32,577.536,757.76,fio-3.42,1779799802,1779799802672
rand_read_direct0_run2.json,D:\ssd_lab\results\direct_buffered,rand_read,2,,0,rand_read,randread,read,4k,16,1,2G,0,30.001,393.07830333709717,100628.045732,79.41495511,162.816,218.112,350.208,fio-3.42,1779799833,1779799833466
rand_read_direct0_run3.json,D:\ssd_lab\results\direct_buffered,rand_read,3,,0,rand_read,randread,read,4k,16,1,2G,0,30.001,379.3637866973877,97117.129429,82.46641957199999,171.008,234.496,374.784,fio-3.42,1779799864,1779799864266
rand_read_direct1_run1.json,D:\ssd_lab\results\direct_buffered,rand_read,1,,1,rand_read,randread,read,4k,16,1,2G,1,30.001,214.80091285705566,54989.033699,199.557767857,305.152,391.168,577.536,fio-3.42,1779799710,1779799710289
rand_read_direct1_run2.json,D:\ssd_lab\results\direct_buffered,rand_read,2,,1,rand_read,randread,read,4k,16,1,2G,1,30.001,213.53975677490234,54666.177794,199.74080479399998,309.248,395.264,561.152,fio-3.42,1779799741,1779799741069
rand_read_direct1_run3.json,D:\ssd_lab\results\direct_buffered,rand_read,3,,1,rand_read,randread,read,4k,16,1,2G,1,30.001,213.40616703033447,54631.978934,200.445144573,305.152,391.168,552.96,fio-3.42,1779799771,1779799771883
rand_write_direct0_run1.json,D:\ssd_lab\results\direct_buffered,rand_write,1,,0,rand_write,randwrite,write,4k,16,1,2G,0,30.001,181.72727489471436,46522.182594,171.60457000899999,337.92,448.512,634.88,fio-3.42,1779799987,1779799987429
rand_write_direct0_run2.json,D:\ssd_lab\results\direct_buffered,rand_write,2,,0,rand_write,randwrite,write,4k,16,1,2G,0,30.001,176.24711894989014,45119.262691,177.119611469,366.592,493.568,675.84,fio-3.42,1779800018,1779800018214
rand_write_direct0_run3.json,D:\ssd_lab\results\direct_buffered,rand_write,3,,0,rand_write,randwrite,write,4k,16,1,2G,0,30.001,176.8122043609619,45263.924536,172.321449196,346.112,460.8,659.456,fio-3.42,1779800049,1779800049003
rand_write_direct1_run1.json,D:\ssd_lab\results\direct_buffered,rand_write,1,,1,rand_write,randwrite,write,4k,16,1,2G,1,30.001,119.15318965911865,30503.216559,291.674653697,585.728,782.336,1138.688,fio-3.42,1779799895,1779799895053
rand_write_direct1_run2.json,D:\ssd_lab\results\direct_buffered,rand_write,2,,1,rand_write,randwrite,write,4k,16,1,2G,1,30.001,126.58419132232666,32405.553148,257.11785997699997,481.28,618.496,888.832,fio-3.42,1779799925,1779799925839
rand_write_direct1_run3.json,D:\ssd_lab\results\direct_buffered,rand_write,3,,1,rand_write,randwrite,write,4k,16,1,2G,1,30.001,131.41944694519043,33643.378554,247.29354142900002,460.8,602.112,839.68,fio-3.42,1779799956,1779799956631
