experiment,condition,workload,run_count,bandwidth_mib_s_mean,bandwidth_mib_s_cv,iops_mean,iops_cv,clat_p99_us_mean,clat_p99_us_cv,clat_p999_us_mean,clat_p999_us_cv
baseline,baseline,rand_read,3,214.42379824320477,0.0094837801838272,54891.748053,0.0094880126451632,722.2613333333334,0.0285437974868458,,
baseline,baseline,rand_write,3,126.4122355779012,0.0026429205030393,32360.710198666668,0.0026455651248469,1182.3786666666665,0.0080002346769925,,
baseline,baseline,seq_read,3,524.434183438619,0.0027188713111992,523.7577703333333,0.0016589757158352,92449.45066666669,0.1902418998171511,,
baseline,baseline,seq_write,3,480.3485787709554,0.0016784874022558,479.317503,0.001682061835746,118314.32533333333,0.0818694621007445,,
direct_buffered,direct=0,rand_read,3,351.88757578531903,0.1701150356797166,90083.21944833332,0.1701150357858754,343.3813333333333,0.5910318107467463,494.2506666666666,0.4623895999265164
direct_buffered,direct=1,rand_read,3,213.91561222076416,0.0035976661230816,54762.396809,0.0035976648786133,392.5333333333333,0.0060245245480656,563.8826666666668,0.0221916498545076
direct_buffered,direct=0,rand_write,3,178.26219940185547,0.01690832598055,45635.12327366666,0.0169083257654279,467.6266666666666,0.0498064879101663,656.7253333333333,0.0313922429740987
direct_buffered,direct=1,rand_write,3,125.71894264221191,0.0491472027986069,32184.049420333333,0.0491472048549514,667.648,0.1492702461422876,955.7333333333332,0.1677644120759337
qd_sweep,QD1,rand_read,3,20.41212272644043,0.0384114814346396,5225.4924833333325,0.0384136337793117,286.0373333333334,0.0578728193459767,411.648,0.0652481445204179
qd_sweep,QD16,rand_read,3,203.93547598520917,0.0638864144517285,52207.00421099999,0.0638864802306221,505.856,0.0080971659919028,711.3386666666665,0.0351829228019641
qd_sweep,QD32,rand_read,3,209.96040503184,0.0387748399698475,53749.11947400001,0.0387780239612557,804.1813333333333,0.0155605286755716,1078.6133333333337,0.0232029149111688
qd_sweep,QD4,rand_read,3,80.78584829966228,0.0172313316325306,20681.077297666667,0.0172314100401853,314.7093333333333,0.0075143202063725,410.2826666666666,0.0057638961982325
qd_sweep,QD1,rand_write,3,46.055755933125816,0.0418124128400671,11790.251436,0.0418115968483562,108.37333333333332,0.0696483287795148,160.768,0.0337038383575107
qd_sweep,QD16,rand_write,3,126.6364034016927,0.0058707719437087,32418.563825666668,0.0058731863354985,607.5733333333333,0.0280674067343748,845.1413333333334,0.0148063835055115
qd_sweep,QD32,rand_write,3,122.5458714167277,0.0198972514242708,31371.020966,0.0198957198595673,1280.6826666666666,0.0942999760660809,1695.744,0.106280193236715
qd_sweep,QD4,rand_write,3,124.4115645090739,0.0476525491843133,31849.249469666665,0.0476525327075591,158.72,0.0341387265943818,266.23999999999995,0.0869434965804408
wsl_path_compare,/mnt/d,rand_read,3,15.758063316345217,0.1725895121135602,4034.064395333333,0.1725894959819987,879.2746666666666,0.3856156293550227,3448.832,0.8966958201697982
wsl_path_compare,WSL ext4,rand_read,3,18.60891501108805,0.7648877231582495,4763.882408,0.7648877064898305,1208.32,0.436788572878572,10693.290666666668,0.2744320135486734
wsl_path_compare,/mnt/d,rand_write,3,14.247313499450684,0.083810130610099,3647.3124016666666,0.0838101408226867,853.3333333333334,0.1744807152667594,1794.048,0.1525414893926033
wsl_path_compare,WSL ext4,rand_write,3,670.7821038564047,0.0522422590482203,171720.218652,0.0522422589011512,16.128,0.2907135382125772,84.13866666666667,0.1830958879739838
